customer_id,cluster
16415,5
22853,4
994,4
11845,6
25774,5
11303,5
29221,4
37216,5
19854,6
22743,5
17858,6
28504,5
1818,4
27141,5
31744,6
6247,5
37565,5
21785,6
2327,6
15291,5
12996,6
7272,4
32875,4
386,5
39780,5
22009,6
10247,6
26744,5
14798,5
27848,5
16063,5
7897,4
14927,5
23752,6
23441,6
35665,4
14849,5
296,5
34009,5
13150,6
254,4
13583,4
3129,6
7597,5
37570,5
28915,5
37849,4
30861,6
28653,6
27865,5
1654,6
13147,5
9297,6
37091,5
35931,4
35591,5
23259,5
1034,4
2316,4
16931,5
24612,5
3703,6
24976,4
23280,4
18825,4
37869,6
31802,5
12295,5
19774,4
2675,5
2021,4
39263,6
4624,5
22895,5
10996,6
30067,4
3252,5
27605,4
24499,5
3580,6
4067,4
21035,5
23900,4
38965,6
34247,5
28668,6
26055,4
22483,4
29670,5
37857,6
24392,6
8832,5
19458,6
30456,5
17953,5
2741,5
14189,5
39770,4
28966,5
34370,6
5822,4
3454,6
508,4
33566,5
10873,5
26747,6
6349,5
13848,4
36828,6
39410,4
2212,5
32599,6
34299,5
18622,6
1604,6
28671,4
19420,5
12840,5
38918,5
38371,5
19532,5
27977,4
18,6
7289,4
32154,5
17144,5
18354,4
15411,6
10841,4
2870,5
12888,5
37273,4
18824,5
14395,5
19960,5
21439,4
30679,5
19247,5
12518,6
10458,5
26781,4
23006,6
30006,4
23251,6
8293,5
20372,4
31617,4
39577,6
30522,6
8864,6
13975,4
27867,5
21894,5
26193,5
16084,6
18379,6
23484,5
3431,5
18806,6
15794,5
26400,5
1738,5
20725,5
33443,4
21924,5
33359,5
28256,5
23989,5
4099,6
14850,4
32933,6
6845,5
15187,6
1454,4
31712,4
1859,5
22997,4
30924,4
22627,5
28850,5
38889,6
240,6
7249,4
27561,6
7205,5
28944,4
34452,5
12514,5
4793,4
29715,5
31687,6
18583,4
38388,4
8303,5
29253,4
14662,5
4267,4
1085,6
35639,6
2176,6
20645,4
22055,6
22999,4
16996,6
21322,4
19076,5
15709,5
450,6
9906,6
39993,6
13668,4
30083,6
2962,5
10550,4
12895,5
31921,4
12804,5
19501,6
16302,6
39636,4
11038,6
12095,5
6844,4
39275,6
31819,5
30864,5
31426,6
37358,4
5470,6
2983,5
37938,6
33172,4
39188,5
19528,4
1381,5
2882,4
34795,5
24950,5
24083,5
3722,5
28484,4
7728,5
15742,5
22901,4
9586,5
12605,4
17193,4
28450,5
13075,5
15152,4
7458,6
26814,4
29518,5
2,4
4394,6
32946,4
34162,6
13247,4
3003,5
13097,5
19571,5
15851,5
28453,6
36677,6
20418,5
6733,6
35019,6
27606,4
24879,5
31411,6
23991,5
28298,5
7923,4
34930,5
2109,4
23279,5
13590,6
31807,5
14994,5
4886,6
35200,5
13843,6
20417,4
15933,6
36206,6
27103,5
38072,5
35204,6
33450,5
2125,5
19152,4
21619,6
32196,4
3172,5
25053,5
22889,5
24975,5
1841,5
37405,4
23749,6
25840,6
12224,4
5771,5
39443,4
22252,6
17137,6
1799,4
10065,4
27650,5
34615,5
37606,6
15959,5
20439,6
12587,4
18414,6
11423,4
31691,5
20217,5
31238,6
20074,6
23882,6
9639,5
34478,6
22913,5
23946,6
28150,5
27701,6
14054,6
38498,5
13279,6
21865,4
31266,5
16823,4
28957,5
10538,5
3720,6
29094,4
2159,5
8117,4
30318,5
1693,4
20076,5
30514,6
11229,5
30926,4
37348,4
2853,6
2714,5
4805,4
22906,6
26933,5
6363,5
38513,4
5164,5
37302,6
16354,6
8772,5
38702,5
6567,5
27461,4
10607,5
2187,5
18009,4
24796,4
13464,4
30460,5
24888,5
39298,5
26547,6
1390,5
2342,5
1789,6
13272,4
19971,5
35592,6
39569,4
30442,5
22257,5
9696,6
29386,6
18158,4
39913,4
38232,6
14831,6
8579,5
36207,5
27317,4
18391,5
17633,4
19919,5
3357,4
17267,6
34489,4
30620,6
19633,6
21951,4
36824,5
13570,6
33764,5
39519,4
28369,6
31409,6
30671,5
248,4
33204,6
22413,6
32468,5
9734,6
20288,5
12921,4
34425,6
11524,5
35243,6
4606,4
38018,6
373,5
5519,6
30911,5
8328,6
4058,5
21775,5
11032,6
6901,6
22186,5
29271,5
21612,6
23096,4
19400,5
3919,4
23320,5
8597,4
35545,5
20729,6
165,6
27326,5
23002,5
30367,5
36650,5
17703,4
20075,5
22634,5
34805,5
15648,5
38059,6
39248,5
23797,6
21155,6
21763,5
3865,5
4259,5
30155,6
31707,5
13714,5
10938,5
22255,5
12023,6
2931,5
4114,6
33078,6
31470,5
5914,6
12619,5
29456,5
21020,4
1599,4
12101,4
10551,6
31486,6
9853,5
4257,4
12047,5
39185,6
29593,4
21706,4
28093,5
11770,5
25769,4
18523,5
36648,6
17842,6
22676,5
30397,4
16559,6
29247,4
7212,6
22915,4
32469,5
25149,5
4516,4
36716,5
19681,6
35520,5
25438,5
6239,5
13899,5
11946,5
14659,4
16955,6
31723,6
10868,6
27004,5
12736,5
23208,4
7316,4
80,6
6820,4
20275,5
11388,6
34092,6
25755,5
39737,4
16450,6
33387,5
28622,5
20807,6
7644,5
22702,5
8484,6
9969,4
15865,6
18935,4
18146,5
15277,5
3501,5
23145,5
1999,5
914,4
26239,6
24826,5
20143,5
16575,5
3264,6
3610,6
38860,4
18084,4
27222,4
33143,4
9912,5
39070,6
34345,4
34126,5
32829,5
20908,4
204,5
14102,5
5186,4
6020,5
11668,5
22486,6
30643,5
24856,4
7335,5
31875,6
6267,4
13554,5
13721,6
23895,6
10142,4
32739,6
8537,5
35958,5
28430,5
17677,5
11243,6
6690,6
19497,6
9692,5
10422,5
13534,6
11387,4
20387,5
6647,6
25517,5
34810,5
27171,5
27655,6
13614,6
26751,5
7105,4
16657,5
20201,6
12863,4
22667,5
26482,4
28039,5
18847,4
10836,6
28470,5
18085,4
10015,5
19299,6
30171,6
20444,4
6714,5
6937,6
33223,4
27408,5
1889,4
14125,5
12134,5
11600,5
22591,5
9806,4
15879,6
8263,5
37500,6
25791,5
17428,5
1861,5
33112,5
35023,5
22528,6
9050,5
5078,6
32040,5
440,6
28785,4
31466,5
16903,5
23308,5
9695,6
39886,5
15525,5
34523,6
19651,6
23627,4
10237,5
33851,5
36411,5
17185,5
32765,6
27937,5
22769,4
24643,6
14920,6
24740,6
27934,4
36696,5
1388,4
17415,5
23724,5
4611,5
12625,5
21373,6
15136,4
31027,5
28788,4
34283,5
7216,6
28555,5
23771,4
37351,4
29843,5
28302,6
25312,5
21197,4
7286,6
22025,5
20654,4
18092,4
15226,5
39049,4
8112,4
1672,4
11864,5
25628,6
20907,5
12651,6
17001,5
32110,6
12868,5
6060,5
29748,5
7064,5
26467,4
37267,5
33990,6
12309,5
6354,5
873,6
6441,5
14195,5
22663,5
10730,6
34565,5
7487,5
25289,6
21953,6
16222,5
25020,4
39210,4
17073,6
7141,5
39432,6
15385,6
5253,6
36065,4
28357,6
1760,6
21089,5
16573,6
16266,5
33260,5
13538,6
9618,4
26023,6
29152,5
26951,6
2902,5
14168,6
32916,5
10586,4
35446,4
3783,4
4060,5
19119,6
13301,4
25961,6
36009,5
35527,5
31444,5
39671,4
13450,6
14541,5
75,4
21400,5
3155,4
14019,5
9174,4
24195,5
29451,5
6311,5
30660,6
21031,4
27265,5
12703,6
15045,5
4217,4
24269,5
3247,5
4720,4
9926,6
20659,5
7031,5
11219,5
39027,6
12251,4
25736,5
20216,6
6428,4
37202,4
39488,5
37737,6
14883,6
19450,5
9860,5
1890,5
23886,4
13520,6
31693,5
11259,6
25000,4
34124,6
25356,5
15069,6
34714,6
3532,5
31764,5
24860,4
11294,5
35008,5
17414,5
32580,5
4750,5
10916,4
7,5
26489,4
35884,4
31842,6
39648,6
2969,5
38738,6
6752,6
37575,6
35263,4
16612,4
27060,5
1712,6
34586,6
38599,6
32147,6
2131,6
10505,5
24466,4
7244,5
3473,5
29631,6
34303,5
31756,4
946,5
23166,5
23762,5
19734,6
13014,4
12814,5
14060,4
14484,5
38421,6
10496,4
8351,4
25350,5
23404,4
39045,5
26571,4
10757,4
22919,6
4228,5
34555,6
25913,4
30279,5
7097,5
9120,4
25822,4
6957,4
19206,6
25969,4
2507,6
9340,6
20967,5
34104,4
9226,5
33248,6
34780,5
29856,5
20172,5
20964,6
7624,5
15860,5
1768,5
24042,5
30041,6
29683,5
18247,5
12956,4
21781,6
31885,6
32556,4
36804,5
10173,6
5969,4
7554,4
27548,6
30209,6
8699,4
6995,4
1620,6
6121,5
31042,4
20793,5
33257,6
20357,5
33480,5
6680,6
35352,5
8228,5
26527,6
5058,5
33588,6
27856,5
7966,5
29490,6
30036,4
5214,6
36845,6
26758,5
9180,4
3340,5
37685,4
35960,6
30910,6
19317,6
39839,5
21591,6
10670,5
3733,4
26630,4
20954,6
36114,5
29952,5
16736,5
39257,6
23807,4
30064,5
37717,5
9413,5
23581,6
18319,5
9557,4
34967,4
38336,5
39240,6
32709,4
10102,6
28737,6
22737,5
23731,5
15965,5
6874,5
4054,4
19718,6
32974,5
412,5
13536,5
21800,5
38027,5
14496,5
9787,5
23850,4
31837,6
35365,6
37480,6
5723,4
21032,4
8189,6
24471,4
6255,5
29166,4
18175,5
36524,5
22902,6
27366,5
2407,6
38291,4
5102,5
39713,4
14568,6
16288,5
15801,6
14664,4
13716,6
18518,6
32250,5
33696,4
22195,6
35593,4
29723,5
5666,4
30133,5
34443,6
18440,6
14839,5
3711,5
19205,5
23040,5
25316,5
25865,6
21948,5
38480,5
18743,6
17962,5
18057,6
19806,5
17449,4
10648,6
7558,4
11756,4
37164,5
3445,5
18609,6
23291,5
18793,6
31415,6
4266,5
18184,6
28105,6
27473,5
10211,4
13558,6
4711,4
13058,6
1928,6
8798,5
32606,4
3930,5
8123,4
18851,4
11918,5
717,6
23952,6
34026,4
31035,4
26152,6
27116,5
4667,4
25796,5
6840,5
15829,5
